employee_id,final_competency_match,pillars_evaluated
DUP1942,82.16,10
DUP2096,91.53,10
DUP2722,76.47,10
DUP3015,93.40,10
DUP3452,78.43,10
DUP4177,74.15,10
DUP5237,52.55,10
DUP9015,109.10,10
DUP9129,80.60,10
DUP9801,90.67,10
EMP100000,86.02,10
EMP100001,83.39,10
EMP100002,94.51,10
EMP100003,49.51,10
EMP100004,58.02,10
EMP100005,76.24,10
EMP100006,103.68,10
EMP100007,44.59,10
EMP100008,86.88,10
EMP100009,73.11,10
EMP100010,96.48,10
EMP100011,106.57,10
EMP100012,69.64,10
EMP100013,49.41,10
EMP100014,76.29,10
EMP100015,88.46,10
EMP100016,66.70,10
EMP100017,82.56,10
EMP100018,44.67,10
EMP100019,90.07,10
EMP100020,113.58,10
EMP100021,92.69,10
EMP100022,113.56,10
EMP100023,64.97,10
EMP100024,111.35,10
EMP100025,63.15,10
EMP100026,106.13,10
EMP100027,50.79,10
EMP100028,63.84,10
EMP100029,80.48,10
EMP100030,59.58,10
EMP100031,70.21,10
EMP100032,67.30,10
EMP100033,47.18,10
EMP100034,79.10,10
EMP100035,73.44,10
EMP100036,101.37,10
EMP100037,104.41,10
EMP100038,80.60,10
EMP100039,99.96,10
EMP100040,47.52,10
EMP100041,101.82,10
EMP100042,89.67,10
EMP100043,105.31,10
EMP100044,68.92,10
EMP100045,78.38,10
EMP100046,50.45,10
EMP100047,88.02,10
EMP100048,79.49,10
EMP100049,77.89,10
EMP100050,282.78,10
EMP100051,89.91,10
EMP100052,126.42,10
EMP100053,81.54,10
EMP100054,114.83,10
EMP100055,99.31,10
EMP100056,84.23,10
EMP100057,78.79,10
EMP100058,64.08,10
EMP100059,101.43,10
EMP100060,57.79,10
EMP100061,78.64,10
EMP100062,83.81,10
EMP100063,81.97,10
EMP100064,71.43,10
EMP100065,65.88,10
EMP100066,84.77,10
EMP100067,76.48,10
EMP100068,55.93,10
EMP100069,60.86,10
EMP100070,267.93,10
EMP100071,75.13,10
EMP100072,64.84,10
EMP100073,63.69,10
EMP100074,76.96,10
EMP100075,111.28,10
EMP100076,87.20,10
EMP100077,54.60,10
EMP100078,55.80,10
EMP100079,81.30,10
EMP100080,100.60,10
EMP100081,104.62,10
EMP100082,72.96,10
EMP100083,86.32,10
EMP100084,91.61,10
EMP100085,65.11,10
EMP100086,103.78,10
EMP100087,58.01,10
EMP100088,60.56,10
EMP100089,70.15,10
